City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,guangyuan,80,CN,1533595074,97,32.43,105.86,295.04,0.27
1,murgab,0,TM,1533592800,27,37.5,61.97,303.15,5.1
2,pringsewu,68,ID,1533595075,82,-5.36,104.98,295.69,1.32
3,busselton,12,AU,1533594881,100,-33.64,115.35,288.94,8.17
4,qaanaaq,48,GL,1533595075,83,77.48,-69.36,277.54,6.82
5,saldanha,24,PT,1533594980,43,41.42,-6.55,292.99,2.57
6,tiksi,0,RU,1533595022,79,71.64,128.87,281.84,6.32
7,niono,56,ML,1533595076,99,14.25,-5.99,296.99,1.42
8,mataura,68,NZ,1533594875,76,-46.19,168.86,278.74,2.27
9,nikolskoye,20,RU,1533592800,72,59.7,30.79,288.15,4.0
10,bilibino,12,RU,1533595076,52,68.06,166.44,287.89,1.42
11,dalbandin,0,PK,1533595076,27,28.9,64.41,293.69,1.12
12,upernavik,92,GL,1533595076,86,72.79,-56.15,278.84,13.07
13,nuuk,40,GL,1533592200,53,64.17,-51.74,284.15,7.7
14,punta arenas,75,CL,1533592800,100,-53.16,-70.91,274.15,4.1
15,nezhinka,0,RU,1533592800,55,51.77,55.37,292.15,1.32
16,gamba,76,CN,1533595077,100,28.28,88.52,274.54,1.17
17,hobart,40,AU,1533592800,70,-42.88,147.33,280.15,4.1
18,kodiak,1,US,1533592380,41,39.95,-94.76,307.15,3.42
19,airai,0,TL,1533595078,66,-8.93,125.41,295.34,0.87
20,bluff,48,AU,1533595078,21,-23.58,149.07,291.19,6.62
21,mar del plata,88,AR,1533594865,91,-46.43,-67.52,280.04,1.87
22,athabasca,76,CA,1533595078,61,54.72,-113.29,297.74,5.67
23,provideniya,90,RU,1533592800,81,64.42,-173.23,282.15,4.0
24,lorengau,92,PG,1533595078,100,-2.02,147.27,299.99,2.87
25,narsaq,0,GL,1533592200,51,60.91,-46.05,288.15,2.1
26,puerto ayora,75,EC,1533592800,65,-0.74,-90.35,298.15,7.7
27,chuy,0,UY,1533595079,83,-33.69,-53.46,282.59,3.42
28,aklavik,90,CA,1533592800,81,68.22,-135.01,283.15,3.6
29,salisbury,0,GB,1533594000,82,51.07,-1.8,295.15,2.6
30,vaini,100,IN,1533595079,99,15.34,74.49,293.79,4.02
31,rikitea,32,PF,1533594875,99,-23.12,-134.97,297.44,3.47
32,albany,20,US,1533592440,49,42.65,-73.75,306.15,4.6
33,hermanus,32,ZA,1533594874,95,-34.42,19.24,280.34,3.87
34,ribeira grande,0,PT,1533594963,100,38.52,-28.7,295.19,4.57
35,clyde river,20,CA,1533592800,61,70.47,-68.59,283.15,10.3
36,dodoma,0,TZ,1533592800,59,-6.18,35.75,292.15,3.6
